subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T
85,2,1,0.975308642,0.981595092,0.944444444,1,1,0.944444444,1
86,2,0.888888889,0.900621118,0.882716049,0.945454545,0.972222222,1,0.918918919,0.914285714
87,2,0.962962963,0.975308642,0.944444444,0.962962963,0.945945946,0.972222222,1,0.972222222
88,2,0.944444444,0.869565217,0.864197531,0.836363636,0.944444444,0.864864865,0.861111111,0.885714286
89,2,0.830188679,0.820987654,0.803680982,0.648148148,0.861111111,0.833333333,0.75,0.861111111
90,2,0.796296296,0.766871166,0.802469136,0.679245283,0.944444444,1,0.944444444,0.891891892
91,2,0.925925926,0.851851852,0.919753086,0.851851852,0.944444444,0.944444444,0.942857143,0.945945946
92,2,1,0.993865031,0.99378882,1,0.944444444,0.916666667,0.944444444,1
93,2,0.981818182,0.98136646,0.956790123,0.962962963,1,0.945945946,0.944444444,0.944444444
94,2,0.888888889,0.869565217,0.932515337,0.925925926,0.972222222,0.972222222,0.942857143,0.918918919
95,2,0.888888889,0.888888889,0.919254658,0.672727273,0.944444444,0.918918919,0.944444444,0.914285714
96,2,0.981481481,0.975460123,0.98136646,0.981481481,0.918918919,0.971428571,0.972222222,0.944444444
97,2,0.944444444,0.925925926,0.944444444,0.907407407,0.944444444,0.944444444,0.888888889,0.916666667
98,2,0.944444444,0.906832298,0.907407407,0.890909091,0.888888889,0.944444444,0.864864865,0.885714286
99,2,0.945454545,0.99382716,0.969135802,0.981132075,0.942857143,0.916666667,0.944444444,0.972972973
100,2,0.981481481,0.969135802,0.956521739,0.890909091,0.972972973,0.972222222,0.972222222,0.971428571
101,2,0.925925926,0.919254658,0.932515337,0.925925926,0.944444444,0.972972973,1,1
102,2,0.963636364,0.895061728,0.913043478,0.851851852,0.885714286,0.944444444,0.888888889,0.891891892
103,2,1,0.981481481,0.981481481,0.981481481,0.972972973,0.916666667,1,1
104,2,0.925925926,0.956790123,0.950310559,0.945454545,0.972222222,1,0.945945946,0.942857143
105,2,0.87037037,0.783950617,0.813664596,0.763636364,0.555555556,0.527777778,0.722222222,0.722222222
106,2,0.945454545,0.944099379,0.969135802,0.981481481,0.942857143,0.888888889,0.918918919,0.916666667
107,2,0.943396226,0.888888889,0.938650307,0.925925926,0.944444444,0.916666667,0.971428571,0.945945946
108,2,1,0.956790123,0.975308642,0.962962963,1,0.944444444,0.971428571,0.972972973
109,2,0.944444444,0.926380368,0.857142857,0.925925926,0.722222222,0.805555556,0.861111111,0.916666667
110,2,0.981481481,0.969135802,0.956521739,0.945454545,1,0.972972973,0.944444444,0.942857143
111,2,0.981481481,0.969135802,0.944099379,0.8,0.916666667,0.916666667,0.888888889,0.916666667
112,2,0.888888889,0.90797546,0.925465839,0.944444444,0.972222222,1,1,0.972972973
113,2,0.981481481,0.944444444,0.925925926,0.888888889,0.972222222,0.972222222,1,1
114,2,0.981481481,0.944099379,0.938650307,0.87037037,0.861111111,0.972222222,0.942857143,0.918918919
115,2,0.981481481,0.944444444,0.925925926,0.888888889,0.972222222,0.972222222,1,1
116,2,0.981818182,0.975308642,0.98757764,0.925925926,0.944444444,0.972222222,0.972222222,0.972222222
117,2,0.909090909,0.925925926,0.900621118,0.833333333,1,0.918918919,1,0.972222222
118,2,0.981481481,0.987654321,0.975308642,0.981481481,0.916666667,0.972222222,0.944444444,0.972222222
119,2,0.962962963,0.962732919,0.969135802,0.945454545,1,1,1,0.944444444
120,2,0.927272727,0.925925926,0.888198758,0.87037037,0.971428571,0.944444444,0.891891892,0.972222222
