subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
24,1,634.1851852,619.88125,580.8618421,592.6923077,634.1515152,652.3333333,595.75,593.5555556,0
25,1,657.25,659.4361702,680.4285714,671.6842105,652.0666667,620.9677419,663.4375,633.6176471,0
26,1,642.1320755,679.8723404,694.7876712,723.6041667,594.516129,617.4,675.6285714,691.4516129,0
27,1,653.1132075,670.3958333,648.205298,649.7924528,673.7058824,642.7941176,659.2285714,662.2941176,0
28,1,546.5686275,563.6357616,585.8766234,617.76,532.6944444,530.7941176,556,580.1176471,0
29,1,755.244898,783.1370968,791.8561151,815.8918919,757.9230769,749.9375,764.125,767.6923077,0
30,1,681.245283,685,668.9115646,677.1538462,689.8333333,680.4117647,685.5294118,677.4444444,0
31,1,620.1176471,619.6666667,599.9934641,591.0784314,589.5555556,612.8,566.3714286,591.9677419,1
32,1,621.1538462,623.6315789,613,643.8518519,587.1764706,597.1111111,598.9117647,579.7352941,1
33,1,629.5192308,651.2885906,625.8040541,622.509434,587.3055556,603.7647059,585.6285714,604.9117647,1
34,1,547.6470588,574.707483,557.047619,576.2941176,539.1875,583.1714286,538.9655172,543,1
35,1,638,649.3733333,628.4304636,642.4230769,615.625,645.4285714,600.0277778,614.8,1
36,1,575.7307692,600.0580645,592.6903226,600.8727273,577.4444444,594.8823529,567.0277778,554.8235294,1
37,1,646.7058824,680.0921986,670,660.0652174,641.0322581,623.5454545,646.1666667,642.1428571,1
38,1,784.75,769.5882353,732.375,757.7446809,748.2,722.0555556,703.9,711.9333333,1
39,1,569.9056604,565.4615385,585.9577465,596.1702128,573.8529412,552.0571429,555.8125,548,1
40,1,548.1960784,565.0939597,556.1096774,574.4,551.3235294,586.8055556,525.1470588,534.0571429,1
41,1,671.037037,656.6298701,624.0397351,621.3888889,694.1666667,663.9117647,640.8333333,669.0909091,1
42,1,585.6226415,619.8552632,626.6122449,623.3061224,599.53125,607,626.6285714,607.6666667,1
43,1,567.3703704,596.2039474,571.8333333,586.9814815,569,580.3823529,568.1714286,593.6,1
44,1,542.5,595.6086957,574.9591837,605.5,570.4,593.516129,642.34375,679.59375,1
45,1,627.5384615,667.170068,664.8163265,642.8163265,617.5428571,620.25,614.0857143,648.7666667,1
46,1,578.5660377,593.46,564.0533333,592.75,552.1176471,591.6666667,579.4444444,562.28125,1
47,1,727.6538462,707.6515152,717.4929577,742.2340426,717.483871,720.59375,723.21875,737.1515152,1
48,1,619.9433962,630.1503268,640.2689655,626.877551,646.4,627.2058824,628.4375,639.1515152,1
49,1,869.5853659,877.661157,869.5614035,862.7948718,877.0322581,872.9677419,846.8285714,829.3571429,1
50,1,610.9259259,633.8819876,603.4121622,642.5925926,617,621.1944444,601.2285714,649.1142857,1
51,1,599.5294118,597.9251701,621.4459459,659.9375,583.3888889,554.1944444,604.7714286,593.75,1
52,1,563.1111111,561.2516129,559.343949,561.4807692,543,564.3142857,565.2647059,546.2647059,1
