subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
143,2,670.0752,724.4174359,711.4742661,1051.708333,653.8181818,629.2265625,730.4882813,992.0553846,1
144,2,846.7623967,844.4078283,824.8971219,782.056,1096.570888,967.2071006,1119.25,1331.939058,1
145,2,617.5283019,630.4184518,658.2514205,694.7152941,605.8055556,611.7222222,687.2698962,658.3888889,1
146,2,729.328125,755.2248276,766.6883551,714.0440089,659.4318367,642.3428571,719.1586453,748.9717742,1
147,2,722.010355,698.226926,745.6422569,730.3579882,748.6747899,699.4285714,715.0588235,713.2235294,1
148,2,672.6228374,735.7916667,781.2319082,824.6280193,628.2249135,723.4270833,775.3298647,743.0489074,1
149,2,1067.884298,1082.204974,1107.287929,1357.185306,1044.580645,1062.124138,1201.487179,1061.868887,1
150,2,852.4932396,874.9097886,867.2426799,1037.834877,658.4013841,618,682.0380623,715.1931818,1
151,2,819.9144,897.5043478,853.8423513,945.4083176,835.0069204,815.2941176,839.1322314,830.4612245,1
152,2,649,648.860486,646.3457386,646.3518519,653.7923875,654.446281,653.486631,612.1714286,1
153,2,646.9855967,684.9416967,759.6603565,779.8846154,643.2571429,678.0016807,763.4117647,733.982699,1
154,2,709.828125,734.0026316,700.0016102,716.6448,630.1910204,646.2453782,636.6850321,673.5536332,1
155,2,813.1171875,846.7883212,821.9489699,1121.654492,730.9307958,765.1654412,790.816609,803.8378906,1
156,2,670.2228551,702.2327044,679.4541854,721.3008188,704.4723183,657.7941176,667.5134694,687.2698962,1
157,2,654.9550173,718.4367123,711.6518607,744.7771762,684.5955882,690.802139,714.0234375,690.228739,1
158,2,618.4775087,653.0582192,655.7781721,713.0528946,654.3984375,654.2595156,678.5742188,695.9354839,1
159,2,710.6268491,683.7996015,682.0853503,675.8284024,703.2460973,744.9586777,713.6149733,719.5690236,1
160,2,652.5560698,680.444321,746.8685174,840.4852145,649.5849206,672.2621849,693.287395,699.7880623,1
161,2,742.9536,762.9822635,687.2254537,704.16,677.2620321,683.7071429,636.9428571,631.1111111,1
162,2,784.967344,863.7543654,788.2803863,911.4413989,860.8688866,833.916955,835.3125,814.9853076,1
163,2,623,628.4417314,625.8396226,630.0914369,631.9691358,681.1704545,625.0588235,649.2777778,1
164,2,697.6368,697.7647059,694.6048021,698.7198341,692.7731092,695.25,690.8428571,698.4573003,1
165,2,759.746531,886.7324755,830.9833504,914.5905923,1198.989474,1332.099723,899.5384615,975.8769231,1
166,2,680.7673817,695.010118,657.5599612,656.8045568,687.7869605,709.8398438,691.5415225,689.8181818,1
167,2,653.8928,739.1330935,666.4553228,712.0872,653.2941176,693.8522727,606.5354671,646.4579592,1
168,2,612.2264151,642.9295554,601.9339964,642.4881657,631.9166667,656.7593583,589.7318339,601.1929012,1
169,2,706.2145329,717.2898351,757.4736842,699.5314286,848.5029586,773.3793103,736.4453694,695.107438,1
170,2,629.3664731,652.5263694,675.9798314,701.6568047,588.5428571,605.9891975,672.4152249,700.4499541,1
171,2,619.7792809,623.6412915,703.9147913,845.2272727,643.9338843,666.9090909,707.2734375,711.2375367,1
172,2,613.5797872,656.7949991,630.1432555,624.7681661,567.1966387,566.3428571,603.4444444,611.6746032,1
173,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778,1
174,2,659.8227127,674.0569124,712.0642326,763.2602988,698.7970864,641.0722689,695.6932966,695.0942907,1
175,2,686.3517266,747.3843674,774.3751049,804.421875,729.589916,756.8168067,746.1388889,721.7777778,1
176,2,753.0246914,790.9291139,751.9620586,813.8232,737.7197232,742.9613445,731.0204082,711.9642857,1
177,2,728.552,754.5075,805.1448276,894.7636364,649.3823529,673.7165775,678.6857143,690.7462185,1
178,2,527.7735849,520.2803571,534.5960053,527.4660021,541.4876033,537.4432653,542.83391,541.4218487,1
179,2,620.8202663,620.1890233,620.3573584,640.3309911,561.4166667,568.5277778,574.5882353,648.9653979,1
180,2,642.2705882,670.035,717.4941044,727.7410593,610.1989619,649.2456747,690.224977,651.4789916,1
