subjID,fb,MIC.C,MIC.IC,MC.C,MC.IC,MIC.C.T,MIC.IC.T,MC.C.T,MC.IC.T,Experiment
105,2,1,0.900621118,0.913580247,0.777777778,0.828571429,0.861111111,0.722222222,0.864864865,0
106,2,0.888888889,0.98136646,0.950920245,0.925925926,0.972222222,1,0.971428571,0.918918919,0
107,2,1,0.981481481,0.98136646,0.981818182,0.944444444,0.972222222,0.972222222,0.972222222,0
108,2,0.944444444,0.956790123,0.938271605,0.981481481,0.972222222,0.916666667,0.942857143,0.864864865,0
109,2,0.890909091,0.931677019,0.981481481,0.851851852,0.944444444,0.916666667,0.888888889,0.861111111,0
110,2,0.945454545,0.845679012,0.858024691,0.886792453,0.885714286,0.916666667,0.891891892,0.916666667,0
111,2,0.759259259,0.697530864,0.709876543,0.703703704,0.916666667,0.942857143,0.972972973,0.944444444,0
112,2,0.962962963,0.857142857,0.87037037,0.890909091,0.916666667,0.833333333,0.972222222,0.861111111,0
113,2,0.927272727,0.937888199,0.925925926,0.944444444,0.971428571,1,0.972222222,0.945945946,0
114,2,0.888888889,0.87654321,0.906832298,0.927272727,0.916666667,0.837837838,0.944444444,0.942857143,0
115,2,0.981481481,0.956521739,0.926380368,0.87037037,0.972222222,0.918918919,0.914285714,0.944444444,0
116,2,1,0.987730061,0.962732919,0.962962963,1,1,0.972222222,0.972972973,0
117,2,0.963636364,0.962732919,0.950617284,0.833333333,0.942857143,0.916666667,0.972972973,0.888888889,0
118,2,0.962962963,0.950617284,0.981595092,1,1,0.944444444,0.971428571,0.918918919,0
119,2,0.907407407,0.883435583,0.813664596,0.796296296,0.702702703,0.485714286,0.638888889,0.333333333,0
120,2,0.833333333,0.844720497,0.851851852,0.763636364,0.648648649,0.833333333,0.833333333,0.857142857,0
121,2,0.981818182,0.925925926,0.950310559,0.907407407,0.944444444,1,0.972222222,0.972222222,1
122,2,1,0.993865031,0.962732919,1,0.972222222,0.942857143,0.972222222,0.972972973,1
123,2,0.981481481,0.993865031,0.937888199,0.962962963,0.972222222,0.944444444,0.944444444,0.972222222,1
124,2,1,0.968944099,0.962962963,0.927272727,0.891891892,0.916666667,0.944444444,0.971428571,1
125,2,0.781818182,0.807453416,0.895061728,0.925925926,0.971428571,0.972222222,1,0.864864865,1
126,2,0.925925926,0.87654321,0.894409938,0.8,0.891891892,0.833333333,0.777777778,0.8,1
127,2,1,0.981481481,0.975460123,0.962962963,1,1,0.916666667,0.972222222,1
